samples,run,position,chosen_char,correct_char,chosen_score_ns,second_char,second_score_ns,gap_ns,was_correct,partial_guess
201,1,0,r,r,234537,b,41,234496,true,r
201,1,1,4,4,431954,n,221282,210672,true,r4
201,1,2,n,n,649466,F,455917,193549,true,r4n
201,1,3,d,d,871188,K,661133,210055,true,r4nd
201,1,4,o,o,1089492,^,902865,186627,true,r4ndo
201,1,5,m,m,1301444,a,1211375,90069,true,r4ndom
201,1,6,P,P,1524543,U,1331495,193048,true,r4ndomP
201,1,7,@,@,1732704,3,1548505,184199,true,r4ndomP@
201,1,8,s,s,1946783,Y,1755817,190966,true,r4ndomP@s
201,1,9,k,s,2612096,s,2152416,459680,false,r4ndomP@sk
201,2,0,r,r,218252,p,67,218185,true,r
201,2,1,4,4,441962,3,286634,155328,true,r4
201,2,2,n,n,659628,g,440949,218679,true,r4n
201,2,3,d,d,869182,q,660111,209071,true,r4nd
201,2,4,o,o,1088409,f,879418,208991,true,r4ndo
201,2,5,m,m,1311301,d,1103690,207611,true,r4ndom
201,2,6,P,P,1520174,H,1346538,173636,true,r4ndomP
201,2,7,@,@,1729357,v,1525140,204217,true,r4ndomP@
201,2,8,s,s,1950662,N,1755197,195465,true,r4ndomP@s
201,2,9,s,s,2164486,j,1973916,190570,true,r4ndomP@ss
201,3,0,r,r,218527,d,37,218490,true,r
201,3,1,4,4,434456,v,221490,212966,true,r4
201,3,2,n,n,655110,F,438692,216418,true,r4n
201,3,3,d,d,873010,m,658450,214560,true,r4nd
201,3,4,o,o,1086951,C,893056,193895,true,r4ndo
201,3,5,m,m,1305366,e,1097061,208305,true,r4ndom
201,3,6,P,P,1513787,d,1315847,197940,true,r4ndomP
201,3,7,@,@,1733385,d,1533484,199901,true,r4ndomP@
201,3,8,s,s,1950658,c,1750263,200395,true,r4ndomP@s
201,3,9,s,s,2164430,6,1973774,190656,true,r4ndomP@ss
201,4,0,r,r,219117,d,35,219082,true,r
201,4,1,4,4,434871,w,221418,213453,true,r4
201,4,2,n,n,655399,w,443258,212141,true,r4n
201,4,3,d,d,869685,f,678221,191464,true,r4nd
201,4,4,o,o,1078643,f,879227,199416,true,r4ndo
201,4,5,m,m,1302621,p,1109160,193461,true,r4ndom
201,4,6,P,P,1518119,C,1306898,211221,true,r4ndomP
201,4,7,@,@,1729416,x,1545578,183838,true,r4ndomP@
201,4,8,s,s,1974281,E,1746369,227912,true,r4ndomP@s
201,4,9,s,s,2170097,J,1963707,206390,true,r4ndomP@ss
201,5,0,r,r,219690,a,35,219655,true,r
201,5,1,4,4,434786,w,221916,212870,true,r4
201,5,2,n,n,652268,M,437295,214973,true,r4n
201,5,3,d,d,870127,Z,660800,209327,true,r4nd
201,5,4,o,o,1090180,f,874367,215813,true,r4ndo
201,5,5,m,m,1302481,e,1092677,209804,true,r4ndom
201,5,6,P,P,1517730,g,1323839,193891,true,r4ndomP
201,5,7,X,@,1735995,@,1730386,5609,false,r4ndomPX
201,5,8,K,s,1530427,^,1519895,10532,false,r4ndomPXK
201,5,9,y,s,1526241,d,1521751,4490,false,r4ndomPXKy
201,6,0,r,r,218529,c,37,218492,true,r
201,6,1,4,4,433666,w,221583,212083,true,r4
201,6,2,n,n,652696,T,442548,210148,true,r4n
201,6,3,d,d,872510,S,667131,205379,true,r4nd
201,6,4,o,o,1085239,c,914265,170974,true,r4ndo
201,6,5,m,m,1311942,w,1185926,126016,true,r4ndom
201,6,6,P,P,1572361,n,1508841,63520,true,r4ndomP
201,6,7,6,@,1755802,@,1739248,16554,false,r4ndomP6
201,6,8,M,s,1536340,%,1531035,5305,false,r4ndomP6M
201,6,9,X,s,1853644,Y,1810376,43268,false,r4ndomP6MX
201,7,0,r,r,219720,d,40,219680,true,r
201,7,1,4,4,434969,w,221137,213832,true,r4
201,7,2,n,n,652873,O,439390,213483,true,r4n
201,7,3,d,d,871480,m,657669,213811,true,r4nd
201,7,4,o,o,1086130,^,934581,151549,true,r4ndo
201,7,5,m,m,1318384,W,1103571,214813,true,r4ndom
201,7,6,P,P,1552928,Q,1322235,230693,true,r4ndomP
201,7,7,@,@,1835606,8,1549810,285796,true,r4ndomP@
201,7,8,s,s,1948679,a,1748216,200463,true,r4ndomP@s
201,7,9,s,s,2159065,^,1977071,181994,true,r4ndomP@ss
201,8,0,r,r,219339,q,45,219294,true,r
201,8,1,4,4,434092,w,221736,212356,true,r4
201,8,2,n,n,660400,O,440500,219900,true,r4n
201,8,3,d,d,872178,K,680510,191668,true,r4nd
201,8,4,o,o,1085146,f,880229,204917,true,r4ndo
201,8,5,m,m,1312588,K,1105038,207550,true,r4ndom
201,8,6,P,P,1522823,#,1317976,204847,true,r4ndomP
201,8,7,@,@,1721278,m,1538236,183042,true,r4ndomP@
201,8,8,s,s,1944385,c,1747639,196746,true,r4ndomP@s
201,8,9,s,s,2171292,6,1966803,204489,true,r4ndomP@ss
201,9,0,r,r,217631,d,36,217595,true,r
201,9,1,4,4,435470,w,221589,213881,true,r4
201,9,2,n,n,656541,F,438523,218018,true,r4n
201,9,3,d,d,864491,a,664168,200323,true,r4nd
201,9,4,o,o,1086879,f,880073,206806,true,r4ndo
201,9,5,m,m,1299756,e,1097001,202755,true,r4ndom
201,9,6,P,P,1520816,d,1313117,207699,true,r4ndomP
201,9,7,@,@,1737759,T,1534905,202854,true,r4ndomP@
201,9,8,s,s,1959128,C,1747916,211212,true,r4ndomP@s
201,9,9,s,s,2155094,y,1964340,190754,true,r4ndomP@ss
201,10,0,r,r,218855,a,35,218820,true,r
201,10,1,4,4,434361,x,225422,208939,true,r4
201,10,2,n,n,654807,F,438391,216416,true,r4n
201,10,3,d,d,871788,s,661808,209980,true,r4nd
201,10,4,o,o,1087232,I,905007,182225,true,r4ndo
201,10,5,m,m,1302838,4,1098856,203982,true,r4ndom
201,10,6,P,P,1519130,m,1316104,203026,true,r4ndomP
201,10,7,@,@,1738573,d,1532876,205697,true,r4ndomP@
201,10,8,s,s,1948438,R,1753757,194681,true,r4ndomP@s
201,10,9,s,s,2168093,c,1964435,203658,true,r4ndomP@ss
201,11,0,r,r,219214,c,36,219178,true,r
201,11,1,4,4,430673,v,275880,154793,true,r4
201,11,2,n,n,647355,F,438205,209150,true,r4n
201,11,3,d,d,867036,z,659073,207963,true,r4nd
201,11,4,o,o,1086054,f,880309,205745,true,r4ndo
201,11,5,m,m,1297879,e,1095490,202389,true,r4ndom
201,11,6,P,P,1514191,d,1310446,203745,true,r4ndomP
201,11,7,@,@,1731216,d,1525866,205350,true,r4ndomP@
201,11,8,s,s,1943972,c,1740976,202996,true,r4ndomP@s
201,11,9,s,s,2155173,c,1955396,199777,true,r4ndomP@ss
201,12,0,r,r,218960,E,39,218921,true,r
201,12,1,4,4,432619,w,221208,211411,true,r4
201,12,2,n,n,652095,G,438150,213945,true,r4n
201,12,3,d,d,868098,Y,655581,212517,true,r4nd
201,12,4,o,o,1082872,f,878229,204643,true,r4ndo
201,12,5,m,m,1299807,$,1106996,192811,true,r4ndom
201,12,6,P,P,1515320,a,1323389,191931,true,r4ndomP
201,12,7,@,@,1728392,#,1533525,194867,true,r4ndomP@
201,12,8,s,s,1944025,m,1747595,196430,true,r4ndomP@s
201,12,9,s,s,2156791,x,1991527,165264,true,r4ndomP@ss
201,13,0,r,r,219058,c,38,219020,true,r
201,13,1,4,4,432260,w,221582,210678,true,r4
201,13,2,n,n,653897,G,439152,214745,true,r4n
201,13,3,d,d,869192,m,654755,214437,true,r4nd
201,13,4,o,o,1085098,f,876282,208816,true,r4ndo
201,13,5,m,m,1299728,e,1095828,203900,true,r4ndom
201,13,6,P,P,1515620,d,1310117,205503,true,r4ndomP
201,13,7,@,@,1728216,d,1525908,202308,true,r4ndomP@
201,13,8,s,s,1942951,1,1816448,126503,true,r4ndomP@s
201,13,9,s,s,2160339,i,1966995,193344,true,r4ndomP@ss
201,14,0,r,r,219687,b,35,219652,true,r
201,14,1,4,4,437601,y,223525,214076,true,r4
201,14,2,n,n,649023,0,442826,206197,true,r4n
201,14,3,d,d,878962,!,661057,217905,true,r4nd
201,14,4,o,o,1085831,b,883568,202263,true,r4ndo
201,14,5,m,m,1304466,j,1097553,206913,true,r4ndom
201,14,6,P,P,1515508,j,1308515,206993,true,r4ndomP
201,14,7,@,@,1728975,k,1531241,197734,true,r4ndomP@
201,14,8,s,s,1944954,&,1733352,211602,true,r4ndomP@s
201,14,9,s,s,2157890,z,1949904,207986,true,r4ndomP@ss
201,15,0,r,r,217147,c,37,217110,true,r
201,15,1,4,4,436412,w,224999,211413,true,r4
201,15,2,n,n,649013,G,439223,209790,true,r4n
201,15,3,d,d,879116,b,684122,194994,true,r4nd
201,15,4,o,o,1085797,^,888777,197020,true,r4ndo
201,15,5,m,m,1298309,d,1103456,194853,true,r4ndom
201,15,6,P,P,1514312,d,1311151,203161,true,r4ndomP
201,15,7,@,@,1729192,d,1525154,204038,true,r4ndomP@
201,15,8,s,s,1945127,c,1743727,201400,true,r4ndomP@s
201,15,9,s,s,2156049,c,1957659,198390,true,r4ndomP@ss
201,16,0,r,r,218723,p,36,218687,true,r
201,16,1,4,4,432755,w,220974,211781,true,r4
201,16,2,n,n,654723,G,438975,215748,true,r4n
201,16,3,d,d,868939,m,655850,213089,true,r4nd
201,16,4,o,o,1085364,f,877295,208069,true,r4ndo
201,16,5,m,m,1299182,e,1094308,204874,true,r4ndom
201,16,6,P,P,1514383,q,1313560,200823,true,r4ndomP
201,16,7,@,@,1729421,w,1566699,162722,true,r4ndomP@
201,16,8,s,s,1964640,h,1797297,167343,true,r4ndomP@s
201,16,9,s,s,2167436,l,1982851,184585,true,r4ndomP@ss
201,17,0,r,r,219156,R,37,219119,true,r
201,17,1,4,4,434161,b,269043,165118,true,r4
201,17,2,n,n,649208,r,474778,174430,true,r4n
201,17,3,d,d,873859,k,658199,215660,true,r4nd
201,17,4,o,o,1092263,1,874899,217364,true,r4ndo
201,17,5,m,m,1298782,e,1092485,206297,true,r4ndom
201,17,6,P,P,1522352,t,1311302,211050,true,r4ndomP
201,17,7,@,@,1745151,!,1547502,197649,true,r4ndomP@
201,17,8,s,s,1942386,8,1782752,159634,true,r4ndomP@s
201,17,9,s,s,2172803,A,1989127,183676,true,r4ndomP@ss
201,18,0,r,r,219052,P,36,219016,true,r
201,18,1,4,4,436654,w,221250,215404,true,r4
201,18,2,n,n,649548,B,443784,205764,true,r4n
201,18,3,d,d,868558,m,656343,212215,true,r4nd
201,18,4,o,o,1083430,f,872577,210853,true,r4ndo
201,18,5,m,m,1300878,e,1089561,211317,true,r4ndom
201,18,6,P,P,1516894,t,1302892,214002,true,r4ndomP
201,18,7,@,@,1740632,d,1524803,215829,true,r4ndomP@
201,18,8,s,s,1944010,E,1762675,181335,true,r4ndomP@s
201,18,9,s,s,2160146,4,1957338,202808,true,r4ndomP@ss
201,19,0,r,r,219682,c,36,219646,true,r
201,19,1,4,4,434840,w,221677,213163,true,r4
201,19,2,n,n,652506,F,440407,212099,true,r4n
201,19,3,d,d,870000,S,656121,213879,true,r4nd
201,19,4,o,o,1086387,G,875887,210500,true,r4ndo
201,19,5,m,m,1295618,e,1094535,201083,true,r4ndom
201,19,6,P,P,1514228,&,1313193,201035,true,r4ndomP
201,19,7,@,@,1731614,j,1548940,182674,true,r4ndomP@
201,19,8,s,s,1942574,f,1771038,171536,true,r4ndomP@s
201,19,9,s,s,2160756,c,1954694,206062,true,r4ndomP@ss
201,20,0,r,r,218869,f,36,218833,true,r
201,20,1,4,4,434812,w,220705,214107,true,r4
201,20,2,n,n,648668,G,437592,211076,true,r4n
201,20,3,d,d,866678,Z,655533,211145,true,r4nd
201,20,4,o,o,1084282,y,875765,208517,true,r4ndo
201,20,5,m,m,1298422,e,1089359,209063,true,r4ndom
201,20,6,P,P,1521141,O,1307107,214034,true,r4ndomP
201,20,7,@,@,1727212,z,1518771,208441,true,r4ndomP@
201,20,8,s,s,1941615,1,1734681,206934,true,r4ndomP@s
201,20,9,s,s,2157786,l,2001161,156625,true,r4ndomP@ss
101,1,0,r,r,260399,d,41,260358,true,r
101,1,1,4,4,435448,c,220454,214994,true,r4
101,1,2,n,n,653874,y,442262,211612,true,r4n
101,1,3,d,d,867306,T,661946,205360,true,r4nd
101,1,4,o,o,1085674,C,885741,199933,true,r4ndo
101,1,5,m,m,1300701,u,1093209,207492,true,r4ndom
101,1,6,P,P,1513789,h,1311364,202425,true,r4ndomP
101,1,7,@,@,1728362,Z,1527308,201054,true,r4ndomP@
101,1,8,s,s,1948967,&,1770730,178237,true,r4ndomP@s
101,1,9,s,s,2157790,b,2046069,111721,true,r4ndomP@ss
101,2,0,r,r,219383,%,36,219347,true,r
101,2,1,4,4,434445,T,221700,212745,true,r4
101,2,2,n,n,648865,w,473085,175780,true,r4n
101,2,3,d,d,870086,u,661121,208965,true,r4nd
101,2,4,o,o,1084494,t,879125,205369,true,r4ndo
101,2,5,m,m,1299514,j,1095064,204450,true,r4ndom
101,2,6,P,P,1514407,b,1318832,195575,true,r4ndomP
101,2,7,@,@,1725961,a,1537727,188234,true,r4ndomP@
101,2,8,s,s,1942004,f,1737996,204008,true,r4ndomP@s
101,2,9,s,s,2159710,f,1954895,204815,true,r4ndomP@ss
101,3,0,r,r,218304,g,39,218265,true,r
101,3,1,4,4,434984,T,221488,213496,true,r4
101,3,2,n,n,648713,a,434422,214291,true,r4n
101,3,3,d,d,869211,u,661905,207306,true,r4nd
101,3,4,o,o,1083545,t,880398,203147,true,r4ndo
101,3,5,m,m,1298094,L,1097899,200195,true,r4ndom
101,3,6,P,P,1515480,h,1312793,202687,true,r4ndomP
101,3,7,@,@,1727948,c,1528377,199571,true,r4ndomP@
101,3,8,s,s,1944370,1,1780638,163732,true,r4ndomP@s
101,3,9,s,s,2160566,F,1954898,205668,true,r4ndomP@ss
101,4,0,r,r,218467,0,36,218431,true,r
101,4,1,4,4,430995,T,221246,209749,true,r4
101,4,2,n,n,649399,a,437509,211890,true,r4n
101,4,3,d,d,868446,u,661069,207377,true,r4nd
101,4,4,o,o,1085042,f,886103,198939,true,r4ndo
101,4,5,m,m,1298360,j,1095056,203304,true,r4ndom
101,4,6,P,P,1518905,h,1314816,204089,true,r4ndomP
101,4,7,@,@,1740508,g,1525570,214938,true,r4ndomP@
101,4,8,s,s,1948080,F,1932762,15318,true,r4ndomP@s
101,4,9,x,s,2866543,p,2427517,439026,false,r4ndomP@sx
101,5,0,r,r,219597,g,41,219556,true,r
101,5,1,4,4,435530,T,221890,213640,true,r4
101,5,2,n,n,647534,S,449443,198091,true,r4n
101,5,3,d,d,869295,5,659336,209959,true,r4nd
101,5,4,o,o,1083698,t,878969,204729,true,r4ndo
101,5,5,m,m,1298355,w,1145377,152978,true,r4ndom
101,5,6,P,P,1512819,h,1309399,203420,true,r4ndomP
101,5,7,@,@,1727865,g,1549551,178314,true,r4ndomP@
101,5,8,s,s,1944295,g,1744551,199744,true,r4ndomP@s
101,5,9,^,s,2788839,s,2154646,634193,false,r4ndomP@s^
101,6,0,r,r,218619,A,36,218583,true,r
101,6,1,4,4,448577,G,360777,87800,true,r4
101,6,2,n,n,665646,G,514065,151581,true,r4n
101,6,3,d,d,900723,b,810186,90537,true,r4nd
101,6,4,o,o,1088148,#,957648,130500,true,r4ndo
101,6,5,m,m,1301579,%,1114800,186779,true,r4ndom
101,6,6,P,P,1513730,W,1400303,113427,true,r4ndomP
101,6,7,@,@,1716867,k,1522353,194514,true,r4ndomP@
101,6,8,s,s,1944887,w,1764062,180825,true,r4ndomP@s
101,6,9,s,s,2165302,b,1972990,192312,true,r4ndomP@ss
101,7,0,r,r,218519,t,36,218483,true,r
101,7,1,4,4,433037,T,221880,211157,true,r4
101,7,2,n,n,650184,U,434530,215654,true,r4n
101,7,3,d,d,868799,u,658650,210149,true,r4nd
101,7,4,o,o,1085617,V,921539,164078,true,r4ndo
101,7,5,m,m,1305025,j,1092482,212543,true,r4ndom
101,7,6,P,P,1512918,j,1314134,198784,true,r4ndomP
101,7,7,@,@,1728027,g,1523193,204834,true,r4ndomP@
101,7,8,v,s,2053362,s,1948150,105212,false,r4ndomP@v
101,7,9,f,s,1740864,p,1734349,6515,false,r4ndomP@vf
101,8,0,r,r,217536,c,36,217500,true,r
101,8,1,4,4,437058,T,221795,215263,true,r4
101,8,2,n,n,650681,W,437497,213184,true,r4n
101,8,3,d,d,869371,p,660698,208673,true,r4nd
101,8,4,o,o,1083547,t,879269,204278,true,r4ndo
101,8,5,m,m,1301713,W,1106771,194942,true,r4ndom
101,8,6,P,P,1516099,h,1310495,205604,true,r4ndomP
101,8,7,@,@,1745601,#,1541475,204126,true,r4ndomP@
101,8,8,&,s,2394518,^,2239010,155508,false,r4ndomP@&
101,8,9,B,s,2217069,z,2048058,169011,false,r4ndomP@&B
101,9,0,r,r,210642,B,36,210606,true,r
101,9,1,4,4,434759,S,221969,212790,true,r4
101,9,2,n,n,652030,B,448653,203377,true,r4n
101,9,3,C,d,941361,d,876008,65353,false,r4nC
101,9,4,9,o,733683,8,691819,41864,false,r4nC9
101,9,5,Z,m,833861,0,762137,71724,false,r4nC9Z
101,9,6,a,P,675130,g,664677,10453,false,r4nC9Za
101,9,7,2,@,684460,1,670219,14241,false,r4nC9Za2
101,9,8,!,s,663108,O,659659,3449,false,r4nC9Za2!
101,9,9,U,s,662411,a,658659,3752,false,r4nC9Za2!U
101,10,0,r,r,218622,d,36,218586,true,r
101,10,1,4,4,434978,$,225472,209506,true,r4
101,10,2,n,n,674999,l,673813,1186,true,r4n
101,10,3,d,d,874739,q,683225,191514,true,r4nd
101,10,4,o,o,1089757,d,880190,209567,true,r4ndo
101,10,5,m,m,1299881,t,1104887,194994,true,r4ndom
101,10,6,P,P,1512827,h,1310637,202190,true,r4ndomP
101,10,7,@,@,1730358,v,1573597,156761,true,r4ndomP@
101,10,8,s,s,1958101,H,1772198,185903,true,r4ndomP@s
101,10,9,s,s,2156376,f,1950376,206000,true,r4ndomP@ss
101,11,0,r,r,216505,a,36,216469,true,r
101,11,1,4,4,434387,T,221513,212874,true,r4
101,11,2,n,n,649324,a,437934,211390,true,r4n
101,11,3,d,d,869501,u,660197,209304,true,r4nd
101,11,4,o,o,1082992,g,890689,192303,true,r4ndo
101,11,5,m,m,1300276,@,1103842,196434,true,r4ndom
101,11,6,P,P,1511730,!,1341544,170186,true,r4ndomP
101,11,7,@,@,1731314,1,1528743,202571,true,r4ndomP@
101,11,8,s,s,1942741,H,1745562,197179,true,r4ndomP@s
101,11,9,s,s,2160898,f,1956137,204761,true,r4ndomP@ss
101,12,0,r,r,218739,c,38,218701,true,r
101,12,1,4,4,433843,z,252465,181378,true,r4
101,12,2,n,n,650484,S,435649,214835,true,r4n
101,12,3,d,d,872937,u,658872,214065,true,r4nd
101,12,4,o,o,1081837,t,878286,203551,true,r4ndo
101,12,5,m,m,1302019,j,1095778,206241,true,r4ndom
101,12,6,P,P,1518053,5,1315293,202760,true,r4ndomP
101,12,7,@,@,1729053,g,1526135,202918,true,r4ndomP@
101,12,8,s,s,1941077,f,1737890,203187,true,r4ndomP@s
101,12,9,s,s,2155980,A,1988353,167627,true,r4ndomP@ss
101,13,0,r,r,218731,c,39,218692,true,r
101,13,1,4,4,434782,T,221914,212868,true,r4
101,13,2,n,n,652224,a,435980,216244,true,r4n
101,13,3,d,d,868324,j,668041,200283,true,r4nd
101,13,4,o,o,1084273,4,925254,159019,true,r4ndo
101,13,5,m,m,1303841,b,1244697,59144,true,r4ndom
